theme_id,theme,comments,avg_sent,ideas,likes,replies
7,ai / real / training,69,0.24552615040306858,13,0,13
4,ai / tareq / tareq amin,59,0.2117998615929023,27,0,8
6,ai / saudi / real,54,0.19593935902086856,14,0,4
0,ai / training / humain,48,0.19586658687183697,11,0,11
8,ai / saudi / humain,45,0.2235348324968423,12,0,7
2,ai / tareq / amin,37,0.3249308390618551,6,0,5
3,ai / training / skills,32,0.18779109923641174,13,0,1
5,ai / academy / real,31,0.2377700006584415,12,0,3
10,academy / initiative / humain,29,0.25791206303275266,4,0,5
1,awesome / right / almubark,22,0.25633116883116885,0,0,1
9,tareq / amin / tareq amin,19,0.33371421975992616,1,0,3
11,great / initiative / great initiative,17,0.6213903743315509,0,0,0
